utterances,labels
I need train reservations from norwich to cambridge,default
I'd like to leave on Monday and arrive by 18:00.,default
"Before booking, I would also like to know the travel time, price, and departure time please.",default
No hold off on booking for now. Can you help me find an attraction called cineworld cinema?,default
"Yes, that was all I needed. Thank you very much!",default
"Hello, I am looking for a restaurant in Cambridge. I believe it is called Golden Wok.",default
Can you book me a table for 11:00 on Friday?,default
"Actually, for 4, please.",default
"Great, can you also get me information or architecture in the area",default
What do you recommend?,default
Can I get the postcode for that? I also need to book a taxi to the Golden Wok.,default
Yes I do. I'd like to make sure I arrive at the restaurant by the booked time. Can you check?,default
Actually all you have to do is set the taxi so it arrives by the arrived time. Am I better off booking it myself?,default
I need the contact number and car type also.,default
"Thanks for the service, good day.",default
"Hi, I'm looking for a hotel to stay in that includes free wifi. I'm looking to stay in a hotel, not a guesthouse.",default
I would like one in the moderate price range and with free parking.,default
"Okay, please book that for 3 people and 2 nights starting from Friday.",default
I would love to find a restaurant in the same price range as the Lovell Lodge.,default
I would like the west please.,default
I'm sorry. I actually need a restaurant in the centre.,default
I would like chinese. I would like that for 7pm.,default
"Sounds great, thanks! Actually, can you please just tell me the postcode and address?",default
I will also need a taxi to take me between the two place. Leaving from the restaurant at 24:30,default
I don't think that matters. Can you just make sure I leave the restaurant to the hotel no later than 24:30.,default
Thank you so much for your help.,default
I am looking for a place to stay in the north of the city. I would prefer a 4 star hotel please.,default
No price preference needed,default
Does it have free wifi?,default
I think that would be fine.,default
I would like it book for Sunday for 5 people and 3 nights. Can I have the booking number please.,default
I also need a train that departs from cambridge.,default
I would like to visit Leicester on Wednesday.,default
I need to be in Leicester by 19:15.,default
I need the departure time for that train.,default
What is the price for that train?,default
"Thank you, I think that is all I need for today.",default
"I need a place to dine, and I'd like to know what's available so far as cheap Asian Oriental food.",default
I need to get the address please.,default
Great. I also need a train.,default
I am departing from ely to cambridge and I need to leave after 20:45 on tuesday.,default
"Yes, please book 5 seats for me.",default
"Okay thanks, I will need the reservation number.",default
Great no. That was it. Thank you.,default
No thanks again for all of your help,default
I am planning a trip in Cambridge,default
"I need to reserve a table at shiraz, can you help me?",default
I need the reservation for Saturday.,default
There will be 5 of us and 19:45 would be great.,default
I also need to book a train.,default
We are departing from Birmingham New Street and going to Cambridge.,default
I want to travel on saturday and arrive by 13:15 please,default
Yes choose the arrival time closest to 13:15 and book that train for 5 people. Then give me the reference number,default
Thank you so much.,default
"No, that will be all. Thanks.",default
I am looking for information in Cambridge,default
I have an upcoming conference in Cambridge and need to figure out transportation. Can you tell me about a train to take maybe?,default
I'll be leaving London Kings Cross and heading to Cambridge. I need to be there by 10:30 on Tuesday. Can you book this for 3 people? Reference please?,default
yes. book for 3 people.,default
Yes I am looking for someplace to go in the south for entertainment.,default
Which ever is nicer. I will need some info on it too.,default
"No, that's all I needed today. Thanks for your help, it's much appreciated.",default
I need a train that will be in Cambridge by 3:00,default
I will be travelling on Wednesday.,default
I'm leaving out of London King's Cross.,default
"No, I need to arrive by 14:00.",default
Can I get a ticket for 1 person and the reference number please.,default
Thank you. I think that's all I need.,default
I need to leave peterborough and arrive by 20:45. Can you book a train for me?,default
I will depart any time so long as the train arrives by 20:45.,default
"Oh, I need to leave this Saturday. Just to clarify I want to leave Peterborough going to Cambridge.",default
Yes that is perfect. Can you book that and give me a reference number?,default
"No, I think that's going to be all I needed. Thanks. Have a good day.",default
Where is a 4 star hotel located in North Cambridge?,default
"Sure , that could be nice",default
"I actually don't need reservations I just need the phone number, price range.",default
Okay. now could you help me find a restaurant in the expensive price range that is in the same area as the hotel?,default
"Before we do that, what is the name of the guesthouse? And also, do they have free parking?",default
Could you recommend an expensive restaurant in the same area?,default
"Yes, book me a table for 2 people at 12:15 on monday.",default
Thank you so much. That's all I need. Good-bye.,default
"Hi, I need to catch a train from Stevenage to Cambridge.",default
I need to leave on Wednesday and arrive no later than 21:45.,default
How long will that trip take?,default
Thanks. Can you tell me anything about the castle galleries attraction?,default
Could I please get the phone number for that?,default
"That's perfect, thanks!",default
No that is it. Thank you!,default
I need a five starts hotel close to a mall and main restaurants. The hotel should include free wifi in the room.,default
How about something with 4 stars and something expensive.,default
"Maybe. Is either one a 4 star hotel? If so, I'd like to book a room for 4 nights.",default
I need a reservation for 4 nights starting Saturday.,default
3 people. Can I get the reference number please?,default
Will you try Sunday arrival?,default
"Yes, can you try it for 3 nights, please.",default
"I may have been confusing you. Could you try and book a 4 star, expensive hotel for 3 nights, starting on Saturday? 3 people. Wifi please.",default
"Whew, thanks, sorry for all of the confusion. I think that covers everything. thanks so much for the help.",default
Can you help me find a cheap place to stay in the east part of town?,default
Does it have a star rating of 2?,default
Then find me one in the expensive price range.,default
find me a nice one and book for 5 people and 3 nights from thursday,default
That sounds perfect. Can you reserve that and provide me with the reference number?,default
Thank you. I am also looking for a restaurant that serves Chinese and that is in the same area as the hotel.,default
"Yes. Same group of people, at 19:45 on the same day please.",default
That was all I needed. Thanks. Bye.,default
I'm looking for information on Cambridge University Botanic Gardens.,default
Yes can you help me find a restaurant?,default
"Never mind, I will worry about food later. I am actually looking for a hotel with a guesthouse and free parking would be great as well.",default
Cheap and in the south please.,default
I really need a hotel in the west please.,default
I'm sorry. I really was looking for a guesthouse.,default
I would like the west please.,default
"Can you please book for Saturday, 2 people, 5 nights please?",default
Thank you so much. I believe that is all I need today. Thanks again for all your help.,default
I would like to find an architectural attraction to go to in the centre. Can you help me?,default
I would like to get the entrance fee and address of them please,default
