utterances,labels
"No thank you, could you provide me with the phone number and postcode?",deny+request_info
No thank you. Can I have the phone number for it though?,deny+request_info
"no, but could you please give me the address and the phone number?",deny+request_info
No. Which one of the two would you recommend?,deny+request_info
"No, I don't need a booking, just the address.",book+request_info
"No need to book it, but can you please tell me their phone number?",book+request_info
No I do not. I do need the phone number and entrance fee.,deny+request_info
"Not really, if you find a good one, please give me the postcode.",deny+request_info
"Yes please, just one ticket. Could I get the reference number for the train you book please?",transportation+request_info
That is a good train. Could you give me the train id? How long is that train ride as well?,transportation+request_info
I don't need to book just yet. But can I get the arrival time and price per ticket?,transportation+request_info
I'll want to leave by 11:30. Please let me know the car type of the taxi and a contact number.,transportation+request_info
Sunday and can you please give me the price and travel time?,transportation+request_info
I will also need a taxi to pick me up by 24:30. I need the contact number and car type please.,transportation+request_info
"Would you be able to send that in a different format? I just need a price and travel time, that list is confusing.",transportation+request_info
"No, but could you please show me the specific travel time?",transportation+request_info
"No thank you, I just need to know the departure time.",transportation+request_info
"Yes, please. Any of those will do, but before you book it, could you let me know what the train ID, travel time, and ticket price will be?",transportation+request_info
I am also looking for a train from stansted airport that leaves after 16:45. Please give me the phone number and arrival time. ,transportation+request_info
Can I please have the phone number for the restaurant?,restaurant+request_info
"Yes, I'd like an expensive restaurant in the west. I'm not particular about the food, what do you recommend? What is the phone & postcode?",restaurant+request_info
That sounds great. Can you book me a table for 3 on Friday at 18:30?,book+restaurant+details
Could you tell me where the resturant is located?,restaurant+request_info
What is the phone number of resturant?,restaurant+request_info
Where the resturant is located? Is it close to me?,restaurant+request_info
In which area of the town the resturant is located?,restaurant+request_info
Please give me the address and phone number of the resturant.,restaurant+request_info
What type of food do they serve?,restaurant+request_info
I would really like indian food on saturday in the west area. If you can book it for 1 person at 10:15 or 9:15 I don't care which place.,book+restaurant+details
"Could I get the address for the Dojo Noodle Bar, however?",restaurant+request_info
"Great, can you book a table for 8 people at 19:00 on wednesday",book+restaurant+details
"Ok, can I please book a table for 6 people at 11:15 on the same day?",book+restaurant+details
I'd like to book a table for 2 on Tuesday at 11:45. Would that be possible?,book+restaurant+details
"No particular food style, but I need a reservation for 1 on Saturday at 11:30",book+restaurant+details
"Yes, please. Can you book a table for 6 people at 19:45 on tuesday?",book+restaurant+details
"Yes, can you find me an expensive Russian restaurant?",find+restaurant+details
I am looking for a particular restaurant. It's Efes Restaurant.,find+restaurant+details
I'm looking for a cheap place to dine. I want it to be on the west side of town.,find+restaurant+details
"I'd like to find a restaurant called Cotto, please.",find+restaurant+details
I would like to find an Indian restaurant that is in the expensive range.,find+restaurant+details
I am on a budget and need a cheap place to eat.,find+restaurant+details
Yes. Can you please find me an expensive restaurant in the south that serves mexican food?,find+restaurant+details
I'm looking for a Japanese restaurant in the north of the centre.,find+restaurant+details
I need a cheap place to dine at in the north.,find+restaurant+details
I was thinking of trying some new cuisine while we are in town. Something expensive.,find+restaurant+details
Could you also find me an italian restaurant in the same area?,find+restaurant+details
What is the closest asian restaurant that is cheap?,find+restaurant+details
"Before you go, could you help me find an expensive restaurant in the city centre?",find+restaurant+details
"Before booking, I would also like to know the travel time, price, and departure time please",transportation+request_info
Can you book this for 3 people? Reference please?,book+request_info
Can you book that and give me a reference number?,book+request_info
"I need the booking for 8 people, and I would like a reference number",book+request_info
I need to book this for 6 people please. I will also need to get the reference number.,book+request_info
go ahead and book it and please send me the address,book+request_info
"Yes, I'd like to book 7 tickets.",book
Yes please book it for me.,book
Yes please. Can you make the booking for 7 people?,book
that should be after 16:15. book for 6 people,book
Can you book it for me?,book
"No thank you, I will book myself at a later point.",book
I would like to book for Tuesday at 12:45.,book
"Yeah, can you book 4 tickets for me?",book
Wonderful. Can you make a reservation for Friday at 17:15 for 3 people?,book
That sounds great. Can you please book it for four people?,book
"Yes, that sounds fine. Can you book me tickets for 8 people, please?",book
"Yes, please. Can you book me 5 tickets please?",book
Yes that sounds like a good fit for me. Please book it for me.,book
"Yes, please. I'd also like to know the postcode?",affirm+request_info
"Yes, please. May have I have phone number and postcode?",affirm+request_info
Sure. Are they open at 11:15?,affirm+request_info
Cotto is fine. Please get me their address and postcode,affirm+request_info
"Yes, thats great. Can you give me their postcode please?",affirm+request_info
"That would be great. Can I get the post code, please?",affirm+request_info
"Yes, and please let me know the reference number in case I need to make any changes later.",affirm+request_info
"Yes please, and I'm going to need the address.",affirm+request_info
"That sounds good, what's the phone number?",affirm+request_info
Sounds good. What's their address?,affirm+request_info
Sounds fantastic. Can I get the phone number? And is there an entrance fee?,affirm+request_info
"That sounds nice! Can I just get their phone number, address, and postcode?",affirm+request_info
Please give me aylesbray lodge's address. I am not booking now.,stay+request_info
It sounds great but does it also have free wifi and parking. I really need that.,stay+request_info
Can you please give me the price range and the hotel type?,stay+request_info
What is the address of Acorn Guest House?,stay+request_info
"Yes. Please book it for Monday. 3 nights, 6 people. I'll also need the reference number.",stay+request_info
"Yes, I also need to book the aylesbray lodge guest house. Starting Saturday. 3 nights, 5 people. Please inclue a reference number.",stay+request_info
Is it available for a single night stay?,stay+request_info
What is the star rating for that hotel? Can you check that for me?,stay+request_info
Yes please book one for me. Send me the address phone post code and reference number. Thanks,book+request_info
I'll take either one but can you check and see if they include both internet and wifi? I'm on a real tight budget.,stay+request_info
"Okay, I will book it at a later time. I just need the star of the hotel, address, and hotel type.",stay+request_info
That sounds good. What is the postcode for the Kirkwood house?,stay+request_info
I need some information on the A and B Guest House.,stay+request_info
